FID;nom_servic;no_cvq;rue;ville;cp;en_caserne;Y;X
1056;Service de sécurité incendie Saint-Damase-de-l'Islet; ;Chemin du Village Est;Saint-Damase-de-L'Islet;G0R2X0;0;-70.1276221888499;47.1960703865023
1057;Service de sécurité incendie Saint-Jean-Port-Joli; ;Route de l'Église;Saint-Jean-Port-Joli;G0R3G0;0;-70.2627463662328;47.2096606424903
1058;Service de sécurité incendie Sainte-Louise; ;Route de la Station;Sainte-Louise;G0R3K0;0;-70.1284509948592;47.2823670632666
1059;Service de sécurité incendie Saint-Marcel; ;Rue des Loisirs;Saint-Marcel;G0R3R0;0;-70.0638405133378;46.8971490568129
1060;Service de sécurité incendie Saint-Côme-Linière; ;Rue Principale;Saint-Côme - Linière;G0M1J0;0;-70.5181845407954;46.0568248895112
1061;Service de sécurité incendie Grande-Rivière;112;Rue de l'Hôtel-de-Ville;Grande-Rivière;G0C1V0;0;-64.4958392345369;48.3999385520843
1062;Service de sécurité incendie New Richmond;108;Rue Industrielle;New Richmond;G0C2B0;0;-65.8440260903921;48.154221116902
1063;Régie incendie des Monts; ;Chemin des Îles;Sainte-Lucie-des-Laurentides;J0T2J0;0;-74.2211438006958;46.2109906739199
1064;Régie incendie des Monts; ;Croissant des Trois-Lacs;Lantier;J0T1V0;0;-74.2528528815971;46.1497014386409
1065;Régie incendie des Monts; ;Chemin des Hauteurs;Sainte-Lucie-des-Laurentides;J0T2J0;0;-74.1813781810521;46.1313319255362
1066;Régie incendie des Monts; ;Rue Albert-Bergeron;Sainte-Agathe-des-Monts;J8C2L5;0;-74.2835277646885;46.0478903221032
1067;Régie incendie des Monts; ;Rue Morin;Val-Morin;J0T2R0;0;-74.1966874794671;46.0087712244151
1068;Service de sécurité incendie Sainte-Angèle-de-Monnoir; ;Rue Girard;Sainte-Angèle-de-Monnoir;J0L1P0;0;-73.1097739638351;45.3913004285805
1069;Régie intermunicipale d'incendie de Saint-Constant et de Sainte-Catherine;5880;Boulevard Saint-Laurent;Sainte-Catherine;J5C1B2;0;-73.5809199723643;45.4012055194206
1070;Régie intermunicipale d'incendie de Saint-Constant et de Sainte-Catherine;147;Rue Saint-Pierre;Saint-Constant;J5A2G9;0;-73.5715854592608;45.3715356746644
1071;Régie intermunicipale de la sécurité incendie du Témiscamingue (R4129); ;2e Rue Nord;Béarn;J0Z1G0;0;-79.3276721561077;47.2929910963484
1072;Régie intermunicipale de la sécurité incendie du Témiscamingue (R4129); ;Rue Principale;Saint-Édouard-de-Fabre;J0Z1Z0;0;-79.3670315336343;47.2032873639081
1073;Régie intermunicipale de la sécurité incendie du Témiscamingue (R4129); ;Rue Dubé;Ville-Marie;J9V1N9;0;-79.4309993300002;47.3286490993471
1074;Régie intermunicipale de la sécurité incendie du Témiscamingue (R4129); ;Rue Clermont;Lorrainville;J0Z2R0;0;-79.352094310953;47.3591820074278
1075;Régie intermunicipale de la sécurité incendie du Témiscamingue (R4129); ;Rue Piché Ouest;Saint-Bruno-de-Guigues;J0Z2G0;0;-79.4391396006659;47.4621834976755
1076;Service de sécurité incendie Bryson/L'Île-du-Grand-Calumet/Portage-du-Fort; ;Rue Principale;Bryson;J0X1H0;0;-76.6227561620594;45.6779902365968
1077;Service de sécurité incendie Bryson/L'Île-du-Grand-Calumet/Portage-du-Fort; ;Rue Brizard;L'Île-du-Grand-Calumet;J0X1J0;0;-76.6115364595949;45.7190004286168
1078;Service de sécurité incendie Bryson/L'Île-du-Grand-Calumet/Portage-du-Fort; ;Rue de l'Église;Portage-du-Fort;J0X2T0;0;-76.6656748501445;45.5924305685633
1079;Service de sécurité incendie Pontiac Ouest; ;Rue King;L'Isle-aux-Allumettes;J0X1M0;0;-77.074143436198;45.9106177475296
1080;Service de sécurité incendie Pontiac Ouest; ;Rue Saint-Joseph;L'Isle-aux-Allumettes;J0X1M0;0;-77.0029002392612;45.8513801659946
1081;Service de sécurité incendie Pontiac Ouest; ;Chemin de Chapeau-Sheenboro;Chichester;J0X1M0;0;-77.1201770648059;45.9228085792466
1082;Régie intermunicipale de protection incendie du Nord des Maskoutains; ;Rang Saint-Amable;Saint-Barnabé-Sud;J0H1G0;0;-72.9174831248969;45.7327517503948
1083;Régie intermunicipale de protection incendie du Nord des Maskoutains; ;Rue Saint-Germain;Saint-Hugues;J0H1N0;0;-72.8586562642367;45.7914817793887
1084;Régie Incendie Secteur Est des Etchemins;11;Rue Mercier;Saint-Magloire;G0R3M0;0;-70.2869287523669;46.5750939679308
1085;Régie Incendie Secteur Est des Etchemins;397;Rue Principale;Saint-Cyprien;G0R1B0;0;-70.2623216125479;46.3534009843753
1086;Régie Incendie Secteur Est des Etchemins;167;Route 204;Sainte-Justine;G0R1Y0;0;-70.3572802638916;46.4027547440473
1087;Régie Incendie Secteur Est des Etchemins;2;Rue des Lilas;Sainte-Sabine;G0R4H0;0;-70.3540684425502;46.492748471865
1088;Régie Incendie Secteur Est des Etchemins;74;Rue Principale;Saint-Camille-de-Lellis;G0R2S0;0;-70.2153822851203;46.4917485629451
1089;Service de securité incendie Saint-Cyprien;114;Rue du Parc;Saint-Cyprien;G0L2P0;0;-69.022770906073;47.8910290164843
1090;Service de securité incendie Saint-Arsène;99;Rue de l'Église;Saint-Arsène;G0L2K0;0;-69.4285715109144;47.9101167683514
1091;Service de securité incendie Saint-Épiphane;280;Rue Bernier;Saint-Épiphane;G0L2X0;0;-69.3291016868558;47.8957212632772
1092;Service de securité incendie Saint-Paul-de-la-Croix;78;Rue Principale Ouest;Saint-Paul-de-la-Croix;G0L3Z0;0;-69.2060069854051;47.9438286436507
1093;Régie intermunicipale de protection incendie de la Vallée-du-Richelieu; ;Rue du Centre-Civique;Mont-Saint-Hilaire;J3H3M8;0;-73.1913955640829;45.5648527857983
1094;Régie intermunicipale de protection incendie de la Vallée-du-Richelieu; ;Rue Dupré;Beloeil;J3G4A8;0;-73.2022027790552;45.5742328017366
1095;Régie intermunicipale de protection incendie de la Vallée-du-Richelieu; ;Rue Savaria;Saint-Basile-le-Grand;J3N1P7;0;-73.2832010075124;45.5267298130225
