REF_DATE;GEO;DGUID;Custodial and community admissions;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2000/2001;Quebec;2016A000224;Total custodial admissions;Number;223;units;0;v80747874;6.1;43911;;;;0
2000/2001;Quebec;2016A000224;Sentenced;Number;223;units;0;v80747875;6.2;14951;;;;0
2000/2001;Quebec;2016A000224;Remand;Number;223;units;0;v80747876;6.3;26063;;;;0
2000/2001;Quebec;2016A000224;Other custodial statuses;Number;223;units;0;v80747877;6.4;2897;;;;0
2000/2001;Quebec;2016A000224;Total community admissions;Number;223;units;0;v80747878;6.5;18001;;;;0
2000/2001;Quebec;2016A000224;Probation and conditional sentences;Number;223;units;0;v80747879;6.6;11963;;;;0
2000/2001;Quebec;2016A000224;Probation;Number;223;units;0;v80747880;6.7;7704;;;;0
2000/2001;Quebec;2016A000224;Conditional sentence;Number;223;units;0;v80747881;6.8;4259;;;;0
2000/2001;Quebec;2016A000224;Other community programs;Number;223;units;0;v80747882;6.9;6038;;;;0
2000/2001;Quebec;2016A000224;Unknown community admissions;Number;223;units;0;v80747883;6.10;0;;;;0
2000/2001;Ontario;2016A000235;Total custodial admissions;Number;223;units;0;v80747885;7.1;86417;;;;0
2000/2001;Ontario;2016A000235;Sentenced;Number;223;units;0;v80747886;7.2;30999;;;;0
2000/2001;Ontario;2016A000235;Remand;Number;223;units;0;v80747887;7.3;52179;;;;0
2000/2001;Ontario;2016A000235;Other custodial statuses;Number;223;units;0;v80747888;7.4;3239;;;;0
2000/2001;Ontario;2016A000235;Total community admissions;Number;223;units;0;v80747889;7.5;47290;;;;0
2000/2001;Ontario;2016A000235;Probation and conditional sentences;Number;223;units;0;v80747890;7.6;39131;;;;0
2000/2001;Ontario;2016A000235;Probation;Number;223;units;0;v80747891;7.7;34920;;;;0
2000/2001;Ontario;2016A000235;Conditional sentence;Number;223;units;0;v80747892;7.8;4211;;;;0
2000/2001;Ontario;2016A000235;Other community programs;Number;223;units;0;v80747893;7.9;8159;;;;0
2000/2001;Ontario;2016A000235;Unknown community admissions;Number;223;units;0;v80747894;7.10;0;;;;0
2000/2001;Manitoba;2016A000246;Total custodial admissions;Number;223;units;0;v80747896;8.1;14780;;;;0
2000/2001;Manitoba;2016A000246;Sentenced;Number;223;units;0;v80747897;8.2;2901;;;;0
2000/2001;Manitoba;2016A000246;Remand;Number;223;units;0;v80747898;8.3;6955;;;;0
2000/2001;Manitoba;2016A000246;Other custodial statuses;Number;223;units;0;v80747899;8.4;4924;;;;0
2000/2001;Manitoba;2016A000246;Total community admissions;Number;223;units;0;v80747900;8.5;10848;;;;0
2000/2001;Manitoba;2016A000246;Probation and conditional sentences;Number;223;units;0;v80747901;8.6;7516;;;;0
2000/2001;Manitoba;2016A000246;Probation;Number;223;units;0;v80747902;8.7;6811;;;;0
2000/2001;Manitoba;2016A000246;Conditional sentence;Number;223;units;0;v80747903;8.8;705;;;;0
2000/2001;Manitoba;2016A000246;Other community programs;Number;223;units;0;v80747904;8.9;3332;;;;0
2000/2001;Manitoba;2016A000246;Unknown community admissions;Number;223;units;0;v80747905;8.10;0;;;;0
2000/2001;Saskatchewan;2016A000247;Total custodial admissions;Number;223;units;0;v80747907;9.1;12989;;;;0
2000/2001;Saskatchewan;2016A000247;Sentenced;Number;223;units;0;v80747908;9.2;3219;;;;0
2000/2001;Saskatchewan;2016A000247;Remand;Number;223;units;0;v80747909;9.3;9548;;;;0
2000/2001;Saskatchewan;2016A000247;Other custodial statuses;Number;223;units;0;v80747910;9.4;222;;;;0
2000/2001;Saskatchewan;2016A000247;Total community admissions;Number;223;units;0;v80747911;9.5;21000;;;;0
2000/2001;Saskatchewan;2016A000247;Probation and conditional sentences;Number;223;units;0;v80747912;9.6;4822;;;;0
2000/2001;Saskatchewan;2016A000247;Probation;Number;223;units;0;v80747913;9.7;3457;;;;0
2000/2001;Saskatchewan;2016A000247;Conditional sentence;Number;223;units;0;v80747914;9.8;1365;;;;0
2000/2001;Saskatchewan;2016A000247;Other community programs;Number;223;units;0;v80747915;9.9;16178;;;;0
2000/2001;Saskatchewan;2016A000247;Unknown community admissions;Number;223;units;0;v80747916;9.10;0;;;;0
2000/2001;Alberta;2016A000248;Total custodial admissions;Number;223;units;0;v80747918;10.1;;..;;;0
2000/2001;Alberta;2016A000248;Sentenced;Number;223;units;0;v80747919;10.2;;..;;;0
2000/2001;Alberta;2016A000248;Remand;Number;223;units;0;v80747920;10.3;;..;;;0
2000/2001;Alberta;2016A000248;Other custodial statuses;Number;223;units;0;v80747921;10.4;;..;;;0
2000/2001;Alberta;2016A000248;Total community admissions;Number;223;units;0;v80747922;10.5;21588;;;;0
2000/2001;Alberta;2016A000248;Probation and conditional sentences;Number;223;units;0;v80747923;10.6;10918;;;;0
2000/2001;Alberta;2016A000248;Probation;Number;223;units;0;v80747924;10.7;9360;;;;0
2000/2001;Alberta;2016A000248;Conditional sentence;Number;223;units;0;v80747925;10.8;1558;;;;0
2000/2001;Alberta;2016A000248;Other community programs;Number;223;units;0;v80747926;10.9;10670;;;;0
2000/2001;Alberta;2016A000248;Unknown community admissions;Number;223;units;0;v80747927;10.10;0;;;;0
2000/2001;British Columbia;2016A000259;Total custodial admissions;Number;223;units;0;v80747929;11.1;34904;;;;0
2000/2001;British Columbia;2016A000259;Sentenced;Number;223;units;0;v80747930;11.2;9520;;;;0
2000/2001;British Columbia;2016A000259;Remand;Number;223;units;0;v80747931;11.3;12185;;;;0
2000/2001;British Columbia;2016A000259;Other custodial statuses;Number;223;units;0;v80747932;11.4;13199;;;;0
2000/2001;British Columbia;2016A000259;Total community admissions;Number;223;units;0;v80747933;11.5;33634;;;;0
2000/2001;British Columbia;2016A000259;Probation and conditional sentences;Number;223;units;0;v80747934;11.6;14735;;;;0
2000/2001;British Columbia;2016A000259;Probation;Number;223;units;0;v80747935;11.7;11509;;;;0
2000/2001;British Columbia;2016A000259;Conditional sentence;Number;223;units;0;v80747936;11.8;3226;;;;0
2000/2001;British Columbia;2016A000259;Other community programs;Number;223;units;0;v80747937;11.9;18899;;;;0
2000/2001;British Columbia;2016A000259;Unknown community admissions;Number;223;units;0;v80747938;11.10;0;;;;0
2000/2001;Yukon;2016A000260;Total custodial admissions;Number;223;units;0;v80747940;12.1;609;;;;0
2000/2001;Yukon;2016A000260;Sentenced;Number;223;units;0;v80747941;12.2;294;;;;0
2000/2001;Yukon;2016A000260;Remand;Number;223;units;0;v80747942;12.3;302;;;;0
2000/2001;Yukon;2016A000260;Other custodial statuses;Number;223;units;0;v80747943;12.4;13;;;;0
2000/2001;Yukon;2016A000260;Total community admissions;Number;223;units;0;v80747944;12.5;673;;;;0
2000/2001;Yukon;2016A000260;Probation and conditional sentences;Number;223;units;0;v80747945;12.6;449;;;;0
2000/2001;Yukon;2016A000260;Probation;Number;223;units;0;v80747946;12.7;353;;;;0
2000/2001;Yukon;2016A000260;Conditional sentence;Number;223;units;0;v80747947;12.8;96;;;;0
2000/2001;Yukon;2016A000260;Other community programs;Number;223;units;0;v80747948;12.9;224;;;;0
2000/2001;Yukon;2016A000260;Unknown community admissions;Number;223;units;0;v80747949;12.10;0;;;;0
2000/2001;Northwest Territories;2016A000261;Total custodial admissions;Number;223;units;0;v80747962;14.1;1431;;;;0
2000/2001;Northwest Territories;2016A000261;Sentenced;Number;223;units;0;v80747963;14.2;802;;;;0
2000/2001;Northwest Territories;2016A000261;Remand;Number;223;units;0;v80747964;14.3;628;;;;0
2000/2001;Northwest Territories;2016A000261;Other custodial statuses;Number;223;units;0;v80747965;14.4;1;;;;0
2000/2001;Northwest Territories;2016A000261;Total community admissions;Number;223;units;0;v80747966;14.5;;..;;;0
2000/2001;Northwest Territories;2016A000261;Probation and conditional sentences;Number;223;units;0;v80747967;14.6;;..;;;0
2000/2001;Northwest Territories;2016A000261;Probation;Number;223;units;0;v80747968;14.7;;..;;;0
2000/2001;Northwest Territories;2016A000261;Conditional sentence;Number;223;units;0;v80747969;14.8;;..;;;0
2000/2001;Northwest Territories;2016A000261;Other community programs;Number;223;units;0;v80747970;14.9;;..;;;0
2000/2001;Northwest Territories;2016A000261;Unknown community admissions;Number;223;units;0;v80747971;14.10;;..;;;0
2000/2001;Nunavut;2016A000262;Total custodial admissions;Number;223;units;0;v80747973;15.1;434;;;;0
2000/2001;Nunavut;2016A000262;Sentenced;Number;223;units;0;v80747974;15.2;229;;;;0
2000/2001;Nunavut;2016A000262;Remand;Number;223;units;0;v80747975;15.3;205;;;;0
2000/2001;Nunavut;2016A000262;Total community admissions;Number;223;units;0;v80747977;15.5;;..;;;0
2000/2001;Nunavut;2016A000262;Probation and conditional sentences;Number;223;units;0;v80747978;15.6;;..;;;0
2000/2001;Nunavut;2016A000262;Probation;Number;223;units;0;v80747979;15.7;;..;;;0
2000/2001;Nunavut;2016A000262;Conditional sentence;Number;223;units;0;v80747980;15.8;;..;;;0
2000/2001;Nunavut;2016A000262;Other community programs;Number;223;units;0;v80747981;15.9;;..;;;0
2000/2001;Nunavut;2016A000262;Unknown community admissions;Number;223;units;0;v80747982;15.10;;..;;;0
2001/2002;Provinces and territories;2016A000011124;Total custodial admissions;Number;223;units;0;v80747819;1.1;205885;;;;0
2001/2002;Provinces and territories;2016A000011124;Sentenced;Number;223;units;0;v80747820;1.2;68087;;;;0
2001/2002;Provinces and territories;2016A000011124;Remand;Number;223;units;0;v80747821;1.3;111601;;;;0
2001/2002;Provinces and territories;2016A000011124;Other custodial statuses;Number;223;units;0;v80747822;1.4;26197;;;;0
2001/2002;Provinces and territories;2016A000011124;Total community admissions;Number;223;units;0;v80747823;1.5;152357;;;;0
2001/2002;Provinces and territories;2016A000011124;Probation and conditional sentences;Number;223;units;0;v80747824;1.6;102402;;;;0
2001/2002;Provinces and territories;2016A000011124;Probation;Number;223;units;0;v80747825;1.7;83941;;;;0
2001/2002;Provinces and territories;2016A000011124;Conditional sentence;Number;223;units;0;v80747826;1.8;18461;;;;0
2001/2002;Provinces and territories;2016A000011124;Other community programs;Number;223;units;0;v80747827;1.9;49953;;;;0
2001/2002;Provinces and territories;2016A000011124;Unknown community admissions;Number;223;units;0;v80747828;1.10;2;;;;0
2001/2002;Newfoundland and Labrador;2016A000210;Total custodial admissions;Number;223;units;0;v80747830;2.1;1750;;;;0
2001/2002;Newfoundland and Labrador;2016A000210;Sentenced;Number;223;units;0;v80747831;2.2;1235;;;;0
