FID;CUST_ORG;BUS_CAT_CL;BUS_CAT_DS;OCCPNT_TYP;SRCDATA_ID;SRC_ID_IND;FCLTY_NM;ADDRESS;MAIL_ADD;ST_ADDRESS;LOCALITY;LATITUDE;LONGITUDE;KEYWORDS;X;Y
231;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;2050;N;Pouce Coupe Vol Fire Dept;5012 49 Ave, Pouce Coupe, BC;5012 49 Ave, Pouce Coupe, BC;5012 49 Ave;Pouce Coupe;55.715201;-120.131926;fire;-120.13194318525;55.7152072754947
232;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;2058;N;Stn 643 Stewart;904 Brightwell St, Stewart, BC;904 Brightwell St, Stewart, BC;904 Brightwell St;Stewart;55.9396968;-129.990441;ambulance;-129.990460387392;55.9397016556952
233;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;2071;N;Dease Lake RCMP;50 Boulder St, Dease Lake, BC;50 Boulder St, Dease Lake, BC;50 Boulder St;Dease Lake;58.4370715;-129.98938;police;-129.989400265107;58.4370763304391
234;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;2074;N;Stn 858 Fort Nelson;5300 Liard St, Fort Nelson, BC;5300 Liard St, Fort Nelson, BC;5300 Liard St;Fort Nelson;58.8061385;-122.700476;ambulance;-122.700495720057;58.8061444121182
235;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1042;N;Stn 107 Sooke;6742 West Coast Rd, Sooke, BC;6742 West Coast Rd, Sooke, BC;6742 West Coast Rd;Sooke;48.3751961;-123.725541;ambulance;-123.725557174938;48.3752016118524
236;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1053;N;CCGB Victoria;25 Huron St, Victoria, BC;25 Huron St, Victoria, BC;25 Huron St;Victoria;48.4222625;-123.386286;coastguard;-123.386301714219;48.4222679972786
237;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1056;N;Esquimalt Fire Dept;500 Park Pl, Esquimalt, BC;500 Park Pl, Esquimalt, BC;500 Park Pl;Esquimalt;48.4293824;-123.415018;fire;-123.415033935736;48.4293879827508
238;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1062;N;Victoria;850 Caledonia Ave, Victoria, BC;850 Caledonia Ave, Victoria, BC;850 Caledonia Ave;Victoria;48.4310743;-123.359907;police;-123.359923154234;48.4310797955031
239;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1078;N;Annex 121 Royal Oak;4528 Viewmont Ave, Saanich, BC;4528 Viewmont Ave, Saanich, BC;4528 Viewmont Ave;Saanich;48.4958665;-123.388453;ambulance;-123.388468251489;48.4958720681107
240;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1080;N;West Hall Highlands Vol Fire Dept;1564 Millstream Rd, Highlands, BC;1564 Millstream Rd, Highlands, BC;1564 Millstream Rd;Highlands;48.5097173;-123.524037;fire;-123.524053232529;48.5097227927688
241;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1094;N;Shawnigan Lake RCMP;2780 Shawnigan Lake Rd, Shawnigan Lake, BC;2780 Shawnigan Lake Rd, Shawnigan Lake, BC;2780 Shawnigan Lake Rd;Shawnigan Lake;48.6547345;-123.623517;police;-123.623532910567;48.6547400561286
242;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1098;N;CCGB Patricia Bay;9860 West Saanich Rd, North Saanich, BC;9860 West Saanich Rd, North Saanich, BC;9860 West Saanich Rd;North Saanich;48.6531397;-123.447149;coastguard;-123.447164587982;48.6531451986847
243;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1115;N;Saturna Island Vol Fire Dept;646 Tumbo Channel Rd, Saturna Island, BC;646 Tumbo Channel Rd, Saturna Island, BC;646 Tumbo Channel Rd;Saturna Island;48.7829946;-123.071743;fire;-123.071758760729;48.7830001869469
244;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1116;N;Mesachie Lake Fire Dept;9295 Carlton Rd, Mesachie Lake, BC;9295 Carlton Rd, Mesachie Lake, BC;9295 Carlton Rd;Mesachie Lake;48.8109124;-124.124069;fire;-124.124085417067;48.8109178701899
245;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1119;N;Saturna Island Vol Fire Dept Esb 1;102 Harris Rd, Saturna Island, BC;102 Harris Rd, Saturna Island, BC;102 Harris Rd;Saturna Island;48.7928678;-123.180881;fire;-123.180897121714;48.7928733451406
246;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1124;N;CCGS Bamfield;29 Michelsens Lane, Bamfield, BC;29 Michelsens Lane, Bamfield, BC;29 Michelsens Lane;Bamfield;48.8377294;-125.141278;coastguard;-125.141293769698;48.8377347961626
247;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1127;N;Lake Cowichan Fire Hall And  Ambulance Station;3 East North Shore Rd, Lake Cowichan, BC;3 East North Shore Rd, Lake Cowichan, BC;3 East North Shore Rd;Lake Cowichan;48.8284952;-124.053749;fire;-124.053764876916;48.8285006511631
248;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1141;N;Stn 117 Galiano Island;660 Porlier Pass Rd, Galiano Island, BC;660 Porlier Pass Rd, Galiano Island, BC;660 Porlier Pass Rd;Galiano Island;48.8923625;-123.354398;ambulance;-123.354414289887;48.8923680275062
249;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1144;N;Ucluelet RCMP;1712 Cedar Rd, Ucluelet, BC;1712 Cedar Rd, Ucluelet, BC;1712 Cedar Rd;Ucluelet;48.9436179;-125.547716;police;-125.547732544425;48.9436231942708
250;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1146;N;Chemainus;9901 Chemainus Rd, Chemainus, BC;9901 Chemainus Rd, Chemainus, BC;9901 Chemainus Rd;Chemainus;48.9268603;-123.727973;fire;-123.727989010175;48.9268658646478
251;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1164;N;Surrey Fire Dept Fire Hall 14;2016 176 St, Surrey, BC;2016 176 St, Surrey, BC;2016 176 St;Surrey;49.0389278;-122.734842;fire;-122.734857524886;49.0389334376812
252;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1166;N;Surrey Fire Dept Fire Hall 12;2610 128 St, Surrey, BC;2610 128 St, Surrey, BC;2610 128 St;Surrey;49.0497372;-122.866887;fire;-122.866902878048;49.0497428765057
253;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1167;N;Columbia Valley Lindell Beach Fire Dept;1202A Kosikar Rd, Columbia Valley, BC;1202A Kosikar Rd, Columbia Valley, BC;1202A Kosikar Rd;Columbia Valley;49.0247598;-122.048577;fire;-122.048592774588;49.0247654980578
254;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1170;N;Stn 202 Abbotsford;2000 Abbotsford Way, Abbotsford, BC;2000 Abbotsford Way, Abbotsford, BC;2000 Abbotsford Way;Abbotsford;49.0385827;-122.276475;ambulance;-122.276490890315;49.0385883708791
255;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1180;N;Extension Vol Fire Dept;2201 Bramley Rd, Nanaimo, BC;2201 Bramley Rd, Nanaimo, BC;2201 Bramley Rd;Nanaimo;49.0974665;-123.954851;fire;-123.95486680818;49.097472018701
256;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1198;N;Langley Township Fire Dept Hall 6;22170 50 Ave, Langley, BC;22170 50 Ave, Langley, BC;22170 50 Ave;Langley;49.0927618;-122.609162;fire;-122.609177449191;49.0927674937437
257;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1199;N;Cultus Lake Fire Dept;75 Sunnyside Blvd, Cultus Lake, BC;75 Sunnyside Blvd, Cultus Lake, BC;75 Sunnyside Blvd;Cultus Lake;49.074001;-121.975918;fire;-121.975933333366;49.0740066895102
258;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1202;N;Tofino Fire Dept;150 Second St, Tofino, BC;150 Second St, Tofino, BC;150 Second St;Tofino;49.1527792;-125.906349;fire;-125.906365755885;49.152784519039
259;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1212;N;Stn 253 Cloverdale;5833 176 St, Surrey, BC;5833 176 St, Surrey, BC;5833 176 St;Surrey;49.1085052;-122.735176;ambulance;-122.735191291771;49.1085107994883
260;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1216;N;Delta Fire Dept Sunshine Hills Hall 5;11720 64 Ave, Delta, BC;11720 64 Ave, Delta, BC;11720 64 Ave;Delta;49.1191733;-122.897787;fire;-122.897802878562;49.1191789413661
261;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1217;N;Surrey Fire Dept Fire Hall 9;14901 64 Ave, Surrey, BC;14901 64 Ave, Surrey, BC;14901 64 Ave;Surrey;49.119396;-122.809796;fire;-122.809812106469;49.1194016434348
262;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1228;N;South Arm Community Policing;8880 Williams Rd, Richmond, BC;8880 Williams Rd, Richmond, BC;8880 Williams Rd;Richmond;49.1402836;-123.128064;police;-123.128079965027;49.1402892516385
263;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1230;N;North Delta Community Policing;7229 120 St, Delta, BC;7229 120 St, Delta, BC;7229 120 St;Delta;49.1346161;-122.891794;police;-122.891809374241;49.1346217708885
264;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1231;N;Newton Community Policing;7235 137 St, Surrey, BC;7235 137 St, Surrey, BC;7235 137 St;Surrey;49.1339114;-122.843205;police;-122.843220757;49.1339170560091
265;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1235;N;Nanaimo Occ;303 Prideaux St, Nanaimo, BC;303 Prideaux St, Nanaimo, BC;303 Prideaux St;Nanaimo;49.1644346;-123.944172;police;-123.944187732319;49.1644401171738
266;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1239;N;Langley Township Fire Dept Hall 4;20253 72 Ave, Langley, BC;20253 72 Ave, Langley, BC;20253 72 Ave;Langley;49.1336684;-122.660889;fire;-122.660904715265;49.1336740864697
267;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1243;N;Chilliwack Fire Hall 6 Greendale;6485 Sumas Prairie Rd, Chilliwack, BC;6485 Sumas Prairie Rd, Chilliwack, BC;6485 Sumas Prairie Rd;Chilliwack;49.1198062;-122.046078;fire;-122.0460941104;49.1198119236393
268;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1254;N;Richmond Fire Hall 1;6960 Gilbert Rd, Richmond, BC;6960 Gilbert Rd, Richmond, BC;6960 Gilbert Rd;Richmond;49.1631882;-123.147256;fire;-123.147271980624;49.1631937742757
269;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1274;N;Richmond Fire Hall 4;3911 Russ Baker Way, Richmond, BC;3911 Russ Baker Way, Richmond, BC;3911 Russ Baker Way;Richmond;49.1864131;-123.14568;fire;-123.145695901351;49.1864186881988
270;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1281;N;Southwest District Occ;45924 Airport Rd, Chilliwack, BC;45924 Airport Rd, Chilliwack, BC;45924 Airport Rd;Chilliwack;49.1543972;-121.953635;police;-121.953650692224;49.1544029392886
271;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1285;N;Osoyoos RCMP;16 Eagle Crt, Osoyoos, BC;16 Eagle Crt, Osoyoos, BC;16 Eagle Crt;Osoyoos;49.0335998;-119.474874;police;-119.474889361478;49.0336057873501
272;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1287;N;Sumas;46326 Airport Rd, Chilliwack, BC;46326 Airport Rd, Chilliwack, BC;46326 Airport Rd;Chilliwack;49.1556368;-121.942888;police;-121.942903610664;49.155642575082
273;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1311;N;Vancouver City Fire Dept Hall 5;3090 E 54th Ave, Vancouver, BC;3090 E 54th Ave, Vancouver, BC;3090 E 54th Ave;Vancouver;49.2199307;-123.041829;fire;-123.041845303747;49.219936292279
274;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1312;N;New Westminster Community Policing;610 Sixth St, New Westminster, BC;610 Sixth St, New Westminster, BC;610 Sixth St;New Westminster;49.213391;-122.92101;police;-122.921025681667;49.2133965970098
275;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1331;N;Ridge-Meadows RCMP;11990 Haney Pl, Maple Ridge, BC;11990 Haney Pl, Maple Ridge, BC;11990 Haney Pl;Maple Ridge;49.2200085;-122.598286;police;-122.598301982677;49.2200141960176
276;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1342;N;Mission Fire Department Hall 2;30514 Dewdney Trunk Rd, Mission, BC;30514 Dewdney Trunk Rd, Mission, BC;30514 Dewdney Trunk Rd;Mission;49.2202983;-122.378687;fire;-122.378702264027;49.2203040251664
277;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1344;N;Burnaby Fire Dept Station 1;4867 Sperling Ave, Burnaby, BC;4867 Sperling Ave, Burnaby, BC;4867 Sperling Ave;Burnaby;49.2408612;-122.965226;fire;-122.9652417009;49.2408668436956
278;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1350;N;Cherry Creek Vol Fire Dept;5920 Cherry Creek Rd, Port Alberni, BC;5920 Cherry Creek Rd, Port Alberni, BC;5920 Cherry Creek Rd;Port Alberni;49.278796;-124.789218;fire;-124.789234425827;49.2788013651304
279;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1351;N;Sproat Lake Fire Dept Hall 2;8835 Faber Rd, Port Alberni, BC;8835 Faber Rd, Port Alberni, BC;8835 Faber Rd;Port Alberni;49.2803487;-124.923441;fire;-124.923457640186;49.280354124298
280;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1359;N;Stn 408 Grand Forks;7649A 22nd St, Grand Forks, BC;7649A 22nd St, Grand Forks, BC;7649A 22nd St;Grand Forks;49.0295187;-118.468177;ambulance;-118.468191917651;49.0295248461621
281;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1372;N;Grand Forks City Fire Dept;7214 2nd St, Grand Forks, BC;7214 2nd St, Grand Forks, BC;7214 2nd St;Grand Forks;49.0320077;-118.436123;fire;-118.436138185185;49.0320138558378
282;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1375;N;Cedar Cottage Community Policing;2777 Commercial Dr, Vancouver, BC;2777 Commercial Dr, Vancouver, BC;2777 Commercial Dr;Vancouver;49.2600059;-123.070072;police;-123.070087559348;49.2600114652409
283;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1376;N;Vancouver City Fire Dept Hall 4;1475 W 10th Ave, Vancouver, BC;1475 W 10th Ave, Vancouver, BC;1475 W 10th Ave;Vancouver;49.2628724;-123.137704;fire;-123.137719617653;49.2628779863013
284;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1377;N;Mount Pleasant Community Policing;672 E Broadway, Vancouver, BC;672 E Broadway, Vancouver, BC;672 E Broadway;Vancouver;49.2623594;-123.089282;police;-123.089297853563;49.2623650608616
285;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1394;N;Vancouver City Fire Dept Hall 1;900 Heatley Ave, Vancouver, BC;900 Heatley Ave, Vancouver, BC;900 Heatley Ave;Vancouver;49.2760078;-123.089409;fire;-123.089425121238;49.2760133931625
286;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1417;N;Port Coquitlam Community Policing;3312 Coast Meridian Rd, Port Coquitlam, BC;3312 Coast Meridian Rd, Port Coquitlam, BC;3312 Coast Meridian Rd;Port Coquitlam;49.2729069;-122.755612;police;-122.755627409264;49.2729125998214
287;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1418;N;Vancouver City Fire Dept Hall 7;1090 Haro St, Vancouver, BC;1090 Haro St, Vancouver, BC;1090 Haro St;Vancouver;49.2836726;-123.125806;fire;-123.125821449532;49.283678248132
288;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1425;N;Agassiz RCMP;6869 Lougheed Hwy, Agassiz, BC;6869 Lougheed Hwy, Agassiz, BC;6869 Lougheed Hwy;Agassiz;49.2429003;-121.769774;police;-121.769789704263;49.2429060782351
289;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1427;N;West End Community Policing;870 Denman St, Vancouver, BC;870 Denman St, Vancouver, BC;870 Denman St;Vancouver;49.2904548;-123.136485;police;-123.136500992296;49.2904603890781
290;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1429;N;Port Moody Community Policing;271 Newport Dr, Port Moody, BC;271 Newport Dr, Port Moody, BC;271 Newport Dr;Port Moody;49.2833366;-122.826125;police;-122.826140459164;49.2833422187685
291;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1439;N;Coquitlam Fire Dept Hall 4;3501 David Ave, Coquitlam, BC;3501 David Ave, Coquitlam, BC;3501 David Ave;Coquitlam;49.2953736;-122.742554;fire;-122.74257017803;49.2953792777576
292;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1456;N;West Vancouver Fire Dept Hall 1;760 16th St, West Vancouver, BC;760 16th St, West Vancouver, BC;760 16th St;West Vancouver;49.3312907;-123.158584;fire;-123.158599537612;49.3312963325507
293;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1465;N;Dashwood Vol Fire Dept Hall 1;230 Hobbs Rd, Qualicum Beach, BC;230 Hobbs Rd, Qualicum Beach, BC;230 Hobbs Rd;Qualicum Beach;49.3658542;-124.519842;fire;-124.519858371488;49.365859627784
294;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1489;N;Gibsons RCMP;737 Sunnycrest Rd, Gibsons, BC;737 Sunnycrest Rd, Gibsons, BC;737 Sunnycrest Rd;Gibsons;49.4092226;-123.521045;police;-123.521060747547;49.4092281284455
295;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1490;N;Stn 268 Gibsons;746 North Rd, Gibsons, BC;746 North Rd, Gibsons, BC;746 North Rd;Gibsons;49.4103087;-123.513206;ambulance;-123.513221901328;49.4103142406417
296;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1499;N;Willowbrook Fire Dept;3395 Willowbrook Rd, Oliver, BC;3395 Willowbrook Rd, Oliver, BC;3395 Willowbrook Rd;Oliver;49.2659441;-119.603584;fire;-119.603599628643;49.2659501017941
297;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1511;N;Stn 235 Sechelt;5494 Wharf Ave, Sechelt, BC;5494 Wharf Ave, Sechelt, BC;5494 Wharf Ave;Sechelt;49.4716969;-123.754467;ambulance;-123.754482782615;49.4717024460331
298;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1513;N;Halfmoon Bay Fire Hall 2;7884 Fawn Rd, Halfmoon Bay, BC;7884 Fawn Rd, Halfmoon Bay, BC;7884 Fawn Rd;Halfmoon Bay;49.4771113;-123.871461;fire;-123.87147745985;49.4771168171244
299;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1524;N;Stn 171 Denman Island;5191 Denman Rd, Denman Island, BC;5191 Denman Rd, Denman Island, BC;5191 Denman Rd;Denman Island;49.5342769;-124.791216;ambulance;-124.791232552849;49.5342822834763
300;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1532;N;Blueberry Creek Fire Dept;202 Beresford Rd, Castlegar, BC;202 Beresford Rd, Castlegar, BC;202 Beresford Rd;Castlegar;49.2456208;-117.660239;fire;-117.660254017536;49.2456270096733
301;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1544;N;Stn 151 Cumberland;2757 Dunsmuir Ave, Cumberland, BC;2757 Dunsmuir Ave, Cumberland, BC;2757 Dunsmuir Ave;Cumberland;49.6191306;-125.026349;ambulance;-125.026365588349;49.6191360233584
302;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1551;N;Pender Harbour Fire Hall 2;13303 Deller Rd, Garden Bay, BC;13303 Deller Rd, Garden Bay, BC;13303 Deller Rd;Garden Bay;49.6355156;-124.029142;fire;-124.029158309247;49.6355211599676
303;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1559;N;Penticton Fire Hall 1;250 W Nanaimo Ave, Penticton, BC;250 W Nanaimo Ave, Penticton, BC;250 W Nanaimo Ave;Penticton;49.4980057;-119.595959;fire;-119.595974628716;49.4980116898841
304;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1565;N;Pass Creek Vol Fire Dept;1789 Winter Rd, Pass Creek, BC;1789 Winter Rd, Pass Creek, BC;1789 Winter Rd;Pass Creek;49.3744495;-117.675144;fire;-117.67515862967;49.3744557696659
305;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1568;N;Courtenay Occ;800 Ryan Rd, Courtenay, BC;800 Ryan Rd, Courtenay, BC;800 Ryan Rd;Courtenay;49.6996521;-124.987219;police;-124.987235342142;49.6996574994796
306;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1582;N;Gold River Vol Fire Dept;499 Muchalat Dr, Gold River, BC;499 Muchalat Dr, Gold River, BC;499 Muchalat Dr;Gold River;49.7806033;-126.047563;fire;-126.04757960619;49.7806086025052
307;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1589;N;CCGS Powell River;3330 Hernando Ave, Powell River, BC;3330 Hernando Ave, Powell River, BC;3330 Hernando Ave;Powell River;49.8055858;-124.525298;coastguard;-124.525314419335;49.8055912885765
308;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1594;N;Stn 229 Powell River;7057 Duncan St, Powell River, BC;7057 Duncan St, Powell River, BC;7057 Duncan St;Powell River;49.8361538;-124.51865;ambulance;-124.51866607546;49.8361592513785
309;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1603;N;Powell River Mun Search And Resecue;6791 Drake St, Powell River, BC;6791 Drake St, Powell River, BC;6791 Drake St;Powell River;49.8709572;-124.529039;fire;-124.529054796209;49.870962634241
310;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1611;N;Winlaw Vol Fire Dept;5741 Hwy 6, Winlaw, BC;5741 Hwy 6, Winlaw, BC;5741 Hwy 6;Winlaw;49.6119387;-117.562338;fire;-117.562353329631;49.6119449515218
311;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1617;N;Campbell River Fire Training;2333 Airport Dr, Campbell River, BC;2333 Airport Dr, Campbell River, BC;2333 Airport Dr;Campbell River;49.9507079;-125.264913;fire;-125.264929112691;49.9507132340752
312;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1632;N;Cranbrook Fire Dept Hall 1;37 11th Ave S, Cranbrook, BC;37 11th Ave S, Cranbrook, BC;37 11th Ave S;Cranbrook;49.5106951;-115.766449;fire;-115.766463803133;49.5107015558133
