FID;CUST_ORG;BUS_CAT_CL;BUS_CAT_DS;OCCPNT_TYP;SRCDATA_ID;SRC_ID_IND;FCLTY_NM;ADDRESS;MAIL_ADD;ST_ADDRESS;LOCALITY;LATITUDE;LONGITUDE;KEYWORDS;X;Y
19;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1220;N;Surrey Fire Dept Fire Hall 15;18915 64 Ave, Surrey, BC;18915 64 Ave, Surrey, BC;18915 64 Ave;Surrey;49.1194558;-122.69883;fire;-122.698846059799;49.1194614530322
20;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1222;N;Richmond Fire Hall 2;11011 No. 2 Rd, Richmond, BC;11011 No. 2 Rd, Richmond, BC;11011 No. 2 Rd;Richmond;49.1332319;-123.159214;fire;-123.159229891902;49.1332374702072
21;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1237;N;Nanaimo Fire Rescue Station 1;666 Fitzwilliam St, Nanaimo, BC;666 Fitzwilliam St, Nanaimo, BC;666 Fitzwilliam St;Nanaimo;49.1646882;-123.945349;fire;-123.945365082723;49.1646937231668
22;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1242;N;Gabriola RCMP;525 South Rd, Gabriola Island, BC;525 South Rd, Gabriola Island, BC;525 South Rd;Gabriola Island;49.1704507;-123.847423;police;-123.847439257649;49.1704562154376
23;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1261;N;Richmond Fire Hall 5;22451 Westminster Hwy, Richmond, BC;22451 Westminster Hwy, Richmond, BC;22451 Westminster Hwy;Richmond;49.1714465;-122.973146;fire;-122.973161756432;49.1714521126255
24;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1263;N;CCGS Sea Island;4262 Inglis Dr, Richmond, BC;4262 Inglis Dr, Richmond, BC;4262 Inglis Dr;Richmond;49.178271;-123.17408;coastguard;-123.174096267247;49.1782766103531
25;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1264;N;Walnut Grove Community Policing Office;8850 Walnut Grove Dr, Langley, BC;8850 Walnut Grove Dr, Langley, BC;8850 Walnut Grove Dr;Langley;49.1631813;-122.639897;police;-122.639913100707;49.1631869251101
26;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1271;N;Stn 249 Surrey;13750 96 Ave, Surrey, BC;13750 96 Ave, Surrey, BC;13750 96 Ave;Surrey;49.1767906;-122.843137;ambulance;-122.843152630447;49.1767962421126
27;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1278;N;New Westminster Fire Dept Hall 3;1011 Ewen Ave, New Westminster, BC;1011 Ewen Ave, New Westminster, BC;1011 Ewen Ave;New Westminster;49.1863135;-122.947932;fire;-122.947948263694;49.1863191363093
28;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1314;N;Vancouver City Fire Dept Hall 17;1443 E 55th Ave, Vancouver, BC;1443 E 55th Ave, Vancouver, BC;1443 E 55th Ave;Vancouver;49.2198107;-123.07684;fire;-123.076856307744;49.2198162656027
29;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1316;N;Musqueam Community Policing;6735 Salish Dr, Vancouver, BC;6735 Salish Dr, Vancouver, BC;6735 Salish Dr;Vancouver;49.224853;-123.198989;police;-123.199004842427;49.224858609209
